"jobtitle","company","min_salary","max_salary","average_salary","pdate","tag_list","description","industry","companysize","comaddress","position1","education","workexperience","worklanguage","age","is_end"
"会计（经营数据分析）","震坤行工业超市(上海)有限公司",7,10,8.5,"2017-09-20","五险一金,年底双薪,绩效奖金,交通补助,带薪年假,弹性工作,年度旅游,节日礼物,","岗位职责： 1、按照公司有关考核制度，按月度、季度、年度出具公司整体、各事业部、各业务部门的业绩报表； 2、与业务部门对接，确保相关团队及时了解业绩状态； 3、根据公司业务发展和重点经营目标变化，对备选的各种考核方案进行测算，为考核方案的优化提供决策支持； 4、参与公司考核流程的持续优化； 5、上级领导交办的其他工作。 任职要求： 1、全日制本科及以上学历； 2、1年以上财务工作经验； 3、财务/会计理论基础扎实，熟悉会计操作； 4、做事认真、严谨，有团队合作精神，学习能力强。","工业自动化","100-499人","上海浦东张江高科科苑路399号张江创新园5号楼","上海","大专及以上","经验不限","普通话","年龄不限",0
"战略投资部-数据分析专员","河南森源集团有限公司",7,10,8.5,"2017-10-07","绩效奖金,午餐补助,弹性工作,免费班车,上市公司,五险一金,公司规模大,全勤奖,","岗位职责： 1、搜索、解读、分析与公司战略契合的相关行业政策 2、市场调研及行业研究，对相关数据进行挖掘、分析，形成分析报告 3、具体项目研究分析，撰写商业计划书，侧重项目财务数据的分析 4、竞争对手研究分析，搜索分析国内优秀企业经营数据 5、集团战略执行情况跟踪分析，撰写专题报告 6、领导交付的其他事项 任职要求： 1、硕士及以上学历，统计学、金融、经济、投资相关专业 2、2年以上相关工作经验，能够熟练应用office办公软件 3、英语六级以上，有咨询、市场调研、财务从业经验者优先 4、优秀应聘者可适当放宽条件","工业自动化","5000-10000人","第三大街经北五路交叉口东北角河南森源集团郑州产业园","郑州","硕士及以上","2年以上经验","语言不限","年龄不限",0
"数据分析员","深圳市艾美美业文化传播有限公司",6,8,7,"2017-10-18","发展空间大,绩效奖金,五险一金,带薪年假,领导好,岗位晋升,优秀员工奖,定期体检,管理规范,技能培训,扁平管理,股票期权,节日礼物,团队聚餐,","职位描述： 1.协助集团财务部完成各版块数据整理、汇总、分析利用，定期输出数据报表； 2.进行数据监测、分析、统计、数据挖掘、总结规律、提出优化建议，异常数据解读，提醒各版块异常数据； 3.从数据角度提出对财务管理及发展有建设性的分析意见，使各版块相关财务流程优化等； 4.其他临时性工作。 任职要求： 1.财务、计算机、数学类相关专业（其他专业条件优秀者可适当放宽）； 2.一年以上工作经验优先（有过数据分析工作经验优先考虑）； 3.熟练使用Office办公软件、PPT和EXCEL编辑及函数公式的运用； 4.思路清晰，考虑问题细致周到，具有较强沟通协调能力； 5.细心严谨、爱岗敬业、吃苦耐劳，有良好的职业操守； 6.有良好的团队合作意识、服务意识、较强的沟通、理解和文字分析能力。","医疗保健·美容","500-999人","深圳市罗湖区国贸大厦8F(地铁:国贸C出口 )","深圳","大专及以上","1年以上经验","语言不限","年龄不限",0
"行业数据分析师","游族",20,26,23,"2017-10-18","上市公司,发展空间大,公司规模大,","岗位职责: 1、负责大数据产品的行业推算逻辑及模型搭建，并且对产出的数据结果质量把关； 2、深入理解移动互联网，通过数据分析、找出行业特征和热点等有价值信息； 3、构建并维护数据分析系统，针对业务数据做清洗、建模，将业务问题抽象成为数学问题，协同算法人员和开发人员完成数据提取分析； 4、对创新业务领域相关的数据，做深度挖掘分析，挖掘宏观特征、行为特征、关系特征等，从海量数据提炼核心结果； 5、服从部门的管理及安排，推动分析问题的解决，为业务创新提供支持。 任职资格: 1、熟练使用SQL，熟悉python、scala、java、R等优先； 2、有大数据算法或建模经验者优先； 3、熟悉移动互联网市场，对行业数据敏感； 4、思维敏捷，懂得变通，良好的逻辑分析能力和沟通能力； 5、本科及以上学历，数学、统计学等相关专业优先； 6、1~2年工作经验，优秀应届毕业生亦可。","网络游戏","1000-2000人","上海市徐汇区宜山路711号2号楼游族大厦","上海","学历不限","2年以上经验","普通话","年龄不限",0
"数据分析师","北京安纳西科技有限公司",10,24,17,"2017-10-17","发展空间大,带薪年假,团队聚餐,领导好,弹性工作,扁平管理,交通补助,午餐补助,全勤奖,","跟踪日常数据情况，制作日常报表 找到运营数据中异常状况，并找到原因 通过对数据分析提出对数值的优化建议 要求： 1.精通excel 2.良好的逻辑思维与表达能力 3.熟练掌握数据整理，统计分析，并能制作汇总分析报表 4.有游戏相关工作经验，能快速理解产品设计思路","网络游戏","1-49人","北京市朝阳区北苑路甲13号北辰泰岳大厦14层","北京","本科及以上","1年以上经验","普通话","年龄不限",0
"移动游戏数据分析师-21619001","盛大游戏",0,0,0,"2017-10-16","交通补助,午餐补助,弹性工作,五险一金,带薪年假,","工作职责: 1.数据搭建：了解游戏各项指标，能很好的贴和产品，精准设定游戏内容的评价参数，并推动搭建各项游戏指标，完善游戏特性监控系统，并持续依据产品需求完善优化监控系统； 2.数据监控：对日常游戏数据和竞品及时准确有效的多维度进行监控，并进行原因分析； 3.数据分析：进行日常日报、周报的分析，并能够深入游戏，贴合产品运用专业的数据分析方法对用户游戏行为分析、活动分析、商业化分析、用户生命周期、差异化行为等专项分析，并能根据运营节点有针对性的分析产品的数值、玩法、成长追求等宏观问题，并提出针对性优化方案； 4.数据挖掘：配合策划进行详细的游戏玩法分析挖掘、探索用户行为并挖掘潜在需求点，以达到长久有效的维稳用户，并能适当的预测用户行为和相关数据； 5.用户研究：能够了解用户，具有很好的用户意识和换位思考能力，保持和用户很好的沟通，从用户角度了解产品和发掘潜在问题，配合做市场调研和用户研究。 任职资格: 1.本科以上学历，2年及以上数据分析工作经验，热爱游戏，对游戏的理解能力强，了解游戏运营工作内容； 2.能承受较大工作压力，思维缜密，具有优秀的沟通和总结能力； 3.具备数据较强的敏感度，擅长从数据角度进行深入分析和挖掘，能够在复杂的环境中推进项目前进，具备优秀的自我驱动力、团队协作能力； 4.具备一定技术能力，熟悉SQL或oracle，掌握基本的统计方法，能够熟练使用excel进行数据整理和编辑、统计分析和高级分析，了解算法和模型的常规应用，熟练掌握数据分析的方法。","网络游戏","1000-2000人","浦东新区海趣路58号海趣园1号楼","上海","本科及以上","3年以上经验","普通话","年龄不限",0
"数据分析师","北京天马时空网络技术有限公司(分支机构)",12,18,15,"2017-10-16","绩效奖金,股票期权,带薪年假,午餐补助,扁平管理,年度旅游,节日礼物,弹性工作,定期体检,发展空间大,优秀员工奖,","岗位职责： 1.负责公司各游戏产品数据统计，制作和分析相关业务的数据，整理数据报告并反馈分析结果； 2.按照公司的要求进行游戏专项数据分析，进行相关的数据搜集，整理并提供指导意见； 3.负责公司数据后台功能设计及数据校验，根据日常工作需求完善后台各项功能；、 岗位要求： 1.本科及以上学历，统计学、应用数学、文化产业、经济学等相关专业的优先； 2.2年以上数据分析工作经验； 3.熟练使用Office软件，特别是Excel、Access，能制作PPT及报表图，熟悉SQL相关操作； 4.有良好的团队合作精神，承压能力高，具备独立工作能力，拥有良好的沟通协调能力及工作责任心 5.互联网游戏行业优先。","网络游戏","100-499人","汇众大厦","北京","统招本科","2年以上经验","普通话","年龄不限",0
"数据分析师","北谷电子有限公司",18,24,21,"2017-10-18","五险一金,岗位晋升,领导好,绩效奖金,午餐补助,定期体检,年度旅游,团队聚餐,免费班车,弹性工作,节日礼物,扁平管理,","岗位职责： 海量数据挖掘，大规模数据分析，从中得出产品、客户或市场行为的商业特征 理解行业中的问题，能将其转化为量化模型并选择最合理的统计和分析工具进行解决 跟踪最新的大数据进展，可用系统理论、编程工具或脚本工具建立模型的原型 通过数据的挖掘和分析，为本公司的行业部门提供建议和咨询 与数据库专家和工程团队合作，建立本行业的智能数据系统 任职要求： 应用数学、电子工程或计算机科学的硕士或博士 5年以上统计、数据挖掘或机器学习的经验 丰富的数据挖掘算法经验和统计工具使用经验，包括但不限于R、Stata、SAS或Tableau，Qlik等 坚实的编程技巧，精通Python或Perl语言，熟悉SQL数据库 有Hadoop经验者优先 必须有团队合作精神 有解决问题的激情、技巧和持续学习的精神","工业自动化","50-99人","高新区新泺大街786号大陆机电南楼c座10层","济南","硕士及以上","5年以上经验","普通话","25-35岁",0
"游戏数据分析师","云畅科技",0,0,0,"2017-10-16","知名IP手游,上市公司,年底双薪,休闲餐点,良好团队氛围,弹性工作,免费班车,","工作职责： 1.负责手游发行游戏的项目规划及管理工作； 2.主要负责手游发行中的产品优化及发行运营相关工作； 3.与游戏研发商紧密配合，从游戏立项到上线运营的过程中进行全程的监督和把控，包括产品开发过程中进行监督及提出修改建议和需求； 4.把控游戏质量及发行中的各个环节，完成公司制定的战略目标和收入目标; 5.在运营期负责游戏的运营、策略制定、执行、监管与分析等工作； 6.跟踪产品运营数据，并根据数据分析结果灵活调整后续运营计划。 岗位职责 1.协助构建游戏数据分析团队及团队的数据驱动文化； 2.与产品、运营团队紧密沟通，指导配合游戏核心玩法测评、运营活动等的数据需求及分析工作； 3.通过数据挖掘和探索分析用户行为数据、游戏数值设计合理性等数据信息分析游戏设计问题，并引导产品设计； 4.客观数据结合众测及用户CE信息，验证用户反馈的问题和建议，协助产品决策； 任职要求 1、本科及以上学历，统计学、数学、经济学、金融学、计算机等相关专业优先 2、2年以上游戏数据分析相关工作经验； 3、优秀的数学思维，极强的商业洞察能力和数据敏锐性； 4、对目前的手机游戏市场有一定了解优先，热爱游戏，至少一款手游游戏时间超过半年； 5、逻辑思维能力强，能完成完整可靠的推导，并通过数据提取和分析进一步验证；","网络游戏","100-499人","北京朝阳区酒仙桥路52号院东方科技园3号楼4层","北京","本科及以上","2年以上经验","语言不限","年龄不限",0
"数据分析师","乐天派科技",18,24,21,"2017-10-16","领导好,技能培训,岗位晋升,发展空间大,全勤奖,五险一金,绩效奖金,年底双薪,定期体检,弹性工作,股票期权,带薪年假,节日礼物,扁平管理,休闲餐点,优秀员工奖,","岗位职责： 1、负责游戏日常运营数据的深入分析，并提供相关的数据分析报告； 2、协同产品、市场、渠道、财务相关人员，分析、研究运营数据的需求;为公司市场运营决策、产品方向、销售策略提供数据支持 3、对公司用户特征数据、用户行为数据、财务数据进行数据挖掘、统计建模分析，分统计析结果上报 4、分析其他同类产品的运营数据，提供对应的运营情况分析报告 5、负责使用数据挖掘技术对用户行为等主题进行建模，并配合项目组将其应用于实际； 6、负责挖掘技术难题的攻克； 7、负责部门数据挖掘项目和分析项目的组织、实施和管理。 任职资格： 1、统计、计算机及相关专业毕业，或者具备统计专业基础知识者优先； 2、具有数据分析和建模的理论基础或实际经验； 3、了解数据库及sql的基本知识； 4、精通word、excel制作图表工具","网络游戏","50-99人","北京市朝阳区北苑东路中国铁建广场","北京","本科及以上","4年以上经验","语言不限","年龄不限",0
